
                            < M A T L A B (R) >
                  Copyright 1984-2018 The MathWorks, Inc.
              R2018b Update 4 (9.5.0.1067069) 64-bit (glnxa64)
                             February 28, 2019

 
For online documentation, see https://www.mathworks.com/support
For product information, visit www.mathworks.com.
 
trial: 1
The directed graph is generated.
ASYSONATA: 25000-th iteration, the error is 0.002650
ASYSONATA: 26000-th iteration, the error is 0.001953
ASYSONATA: 27000-th iteration, the error is 0.001431
ASYSONATA: 28000-th iteration, the error is 0.001073
ASYSONATA: 29000-th iteration, the error is 0.000788
ASYSONATA: 30000-th iteration, the error is 0.000578
ASYSONATA: 31000-th iteration, the error is 0.000424
ASYSONATA: 32000-th iteration, the error is 0.000314
ASYSONATA: 33000-th iteration, the error is 0.000228
ASYSONATA: 34000-th iteration, the error is 0.000165
ASYSONATA: 35000-th iteration, the error is 0.000121
ASYSONATA: 36000-th iteration, the error is 0.000088
ASYSONATA: 37000-th iteration, the error is 0.000065
ASYSONATA: 38000-th iteration, the error is 0.000047
ASYSONATA: 39000-th iteration, the error is 0.000035
ASYSONATA: 40000-th iteration, the error is 0.000026
ASYSONATA: 41000-th iteration, the error is 0.000019
ASYSONATA: 42000-th iteration, the error is 0.000014
ASYSONATA: 43000-th iteration, the error is 0.000010
ASYSONATA: 44000-th iteration, the error is 0.000008
ASYSONATA: 45000-th iteration, the error is 0.000006
ASYSONATA: 46000-th iteration, the error is 0.000004
ASYSONATA: 47000-th iteration, the error is 0.000003
ASYSONATA: 48000-th iteration, the error is 0.000002
ASYSONATA: 49000-th iteration, the error is 0.000002
ASYSONATA: 50000-th iteration, the error is 0.000001
ASYSONATA: 51000-th iteration, the error is 0.000001
ASYSONATA: 52000-th iteration, the error is 0.000001
ASYSONATA: 53000-th iteration, the error is 0.000000
ASYSONATA: 54000-th iteration, the error is 0.000000
ASYSONATA: 55000-th iteration, the error is 0.000000
ASYSONATA: 56000-th iteration, the error is 0.000000
ASYSONATA: 57000-th iteration, the error is 0.000000
ASYSONATA: 58000-th iteration, the error is 0.000000
ASYSONATA: 59000-th iteration, the error is 0.000000
ASYSONATA: 60000-th iteration, the error is 0.000000
ASYSONATA: 61000-th iteration, the error is 0.000000
ASYSONATA: 62000-th iteration, the error is 0.000000
ASYSONATA: 63000-th iteration, the error is 0.000000
ASYSONATA: 64000-th iteration, the error is 0.000000
ASYSONATA: 65000-th iteration, the error is 0.000000
ASYSONATA: 66000-th iteration, the error is 0.000000
ASYSONATA: 67000-th iteration, the error is 0.000000
ASYSONATA: 68000-th iteration, the error is 0.000000
ASYSONATA: 69000-th iteration, the error is 0.000000
ASYSONATA: 70000-th iteration, the error is 0.000000
ASYSONATA: 71000-th iteration, the error is 0.000000
ASYSONATA: 72000-th iteration, the error is 0.000000
ASYSONATA: 73000-th iteration, the error is 0.000000
ASYSONATA: 74000-th iteration, the error is 0.000000
ASYSONATA: 75000-th iteration, the error is 0.000000
ASYSONATA: 76000-th iteration, the error is 0.000000
ASYSONATA: 77000-th iteration, the error is 0.000000
ASYSONATA: 78000-th iteration, the error is 0.000000
ASYSONATA: 79000-th iteration, the error is 0.000000
ASYSONATA: 80000-th iteration, the error is 0.000000
ASYSONATA Err: 1.1977e-10
ASYSONATA-dimi: 1000-th iteration, the error is 4.966279
ASYSONATA-dimi: 2000-th iteration, the error is 2.983858
ASYSONATA-dimi: 3000-th iteration, the error is 1.945412
ASYSONATA-dimi: 4000-th iteration, the error is 1.310758
ASYSONATA-dimi: 5000-th iteration, the error is 0.917954
ASYSONATA-dimi: 6000-th iteration, the error is 0.640532
ASYSONATA-dimi: 7000-th iteration, the error is 0.441764
ASYSONATA-dimi: 8000-th iteration, the error is 0.314295
ASYSONATA-dimi: 9000-th iteration, the error is 0.221423
ASYSONATA-dimi: 10000-th iteration, the error is 0.157973
ASYSONATA-dimi: 11000-th iteration, the error is 0.114171
ASYSONATA-dimi: 12000-th iteration, the error is 0.082023
ASYSONATA-dimi: 13000-th iteration, the error is 0.059871
ASYSONATA-dimi: 14000-th iteration, the error is 0.043939
ASYSONATA-dimi: 15000-th iteration, the error is 0.031791
ASYSONATA-dimi: 16000-th iteration, the error is 0.023258
ASYSONATA-dimi: 17000-th iteration, the error is 0.017355
ASYSONATA-dimi: 18000-th iteration, the error is 0.012755
ASYSONATA-dimi: 19000-th iteration, the error is 0.009558
ASYSONATA-dimi: 20000-th iteration, the error is 0.007111
ASYSONATA-dimi: 21000-th iteration, the error is 0.005350
ASYSONATA-dimi: 22000-th iteration, the error is 0.004018
ASYSONATA-dimi: 23000-th iteration, the error is 0.003001
ASYSONATA-dimi: 24000-th iteration, the error is 0.002283
ASYSONATA-dimi: 25000-th iteration, the error is 0.001720
ASYSONATA-dimi: 26000-th iteration, the error is 0.001312
ASYSONATA-dimi: 27000-th iteration, the error is 0.000997
ASYSONATA-dimi: 28000-th iteration, the error is 0.000774
ASYSONATA-dimi: 29000-th iteration, the error is 0.000601
ASYSONATA-dimi: 30000-th iteration, the error is 0.000465
ASYSONATA-dimi: 31000-th iteration, the error is 0.000357
ASYSONATA-dimi: 32000-th iteration, the error is 0.000279
ASYSONATA-dimi: 33000-th iteration, the error is 0.000217
ASYSONATA-dimi: 34000-th iteration, the error is 0.000168
ASYSONATA-dimi: 35000-th iteration, the error is 0.000130
ASYSONATA-dimi: 36000-th iteration, the error is 0.000101
ASYSONATA-dimi: 37000-th iteration, the error is 0.000080
ASYSONATA-dimi: 38000-th iteration, the error is 0.000063
ASYSONATA-dimi: 39000-th iteration, the error is 0.000050
ASYSONATA-dimi: 40000-th iteration, the error is 0.000039
ASYSONATA-dimi: 41000-th iteration, the error is 0.000031
ASYSONATA-dimi: 42000-th iteration, the error is 0.000025
ASYSONATA-dimi: 43000-th iteration, the error is 0.000020
ASYSONATA-dimi: 44000-th iteration, the error is 0.000016
